;Topic;Q_subcat;Query
0;Fitness and Wellness;comparison;What are the differing views on the impact of AI in fitness and wellness?
1;Fitness and Wellness;ambiguous;What impact may AI have on fitness and wellness?
2;Fitness and Wellness;positive;How can AI positively influence fitness and wellness?
3;Fitness and Wellness;negative;How can AI negatively influence fitness and wellness?
4;Precision Agriculture;comparison;What are the differing views on the impact of AI in precision agriculture?
5;Precision Agriculture;ambiguous;What impact may AI have on precision agriculture?
6;Precision Agriculture;positive;How can AI positively influence precision agriculture?
7;Precision Agriculture;negative;How can AI negatively influence precision agriculture?
8;Biotechnology;comparison;What are the differing views on the integration of AI in biotechnology?
9;Biotechnology;ambiguous;What impact may AI have on biotechnology?
10;Biotechnology;positive;How can AI positively influence the field of biotechnology?
11;Biotechnology;negative;How can AI negatively influence the field of biotechnology?
12;Oncology;comparison;What are the differing views on the impact of AI in oncology?
13;Oncology;ambiguous;What impact may AI have on oncology?
14;Oncology;positive;How can AI positively influence oncology?
15;Oncology;negative;How can AI negatively influence oncology?
16;Virology;comparison;What are the differing views on the impact of AI in virology?
17;Virology;ambiguous;What impact may AI have on virology?
18;Virology;positive;How can AI positively influence virology?
19;Virology;negative;How can AI negatively influence virology?
20;Microbiology;comparison;What are the differing perspectives on the application of AI in microbiology research?
21;Microbiology;ambiguous;What impact may AI have on microbiology?
22;Microbiology;positive;How can AI positively influence the field of microbiology?
23;Microbiology;negative;How can AI negatively influence the field of microbiology?
24;Mechanical Engineering;comparison;What are the differing views on the impact of AI in mechanical engineering?
25;Mechanical Engineering;ambiguous;What impact may AI have on mechanical engineering?
26;Mechanical Engineering;positive;How can AI positively influence mechanical engineering?
27;Mechanical Engineering;negative;How can AI negatively influence mechanical engineering?
28;Chemical Engineering;comparison;What are the differing views on the impact of AI in chemical engineering?
29;Chemical Engineering;ambiguous;What impact may AI have on chemical engineering?
30;Chemical Engineering;positive;How can AI positively influence chemical engineering?
31;Chemical Engineering;negative;How can AI negatively influence  chemical engineering?
32;Demography;comparison;What are the differing views on the impact of AI in demography?
33;Demography;ambiguous;What impact may AI have on demography?
34;Demography;positive;How can AI positively influence demography?
35;Demography;negative;How can AI negatively influence demography?
36;Digital Marketing;comparison;What are the differing views on the impact of AI in digital marketing?
37;Digital Marketing;ambiguous;What impact may AI have on digital marketing?
38;Digital Marketing;positive;How can AI positively influence digital marketing?
39;Digital Marketing;negative;How can AI negatively influence digital marketing?
40;Mining;comparison;What are the differing views on the use of AI in mining operations?
41;Mining;ambiguous;What impact may AI have on mining?
42;Mining;positive;How can AI positively influence the field of mining?
43;Mining;negative;How can AI negatively influence the field of mining?
44;Sociology;comparison;What are the differing views on the impact of AI in sociology?
45;Sociology;ambiguous;What impact may AI have on sociology?
46;Sociology;positive;How can AI positively influence sociology?
47;Sociology;negative;How can AI negatively influence sociology?
48;Entomology;comparison;What are the differing views on the impact of AI in entomology?
49;Entomology;ambiguous;What impact may AI have on entomology?
50;Entomology;positive;How can AI positively influence entomology?
51;Entomology;negative;How can AI negatively influence entomology?
52;Epidemiology;comparison;What are the differing views on the impact of AI in epidemiology?
53;Epidemiology;ambiguous;What impact may AI have on epidemiology?
54;Epidemiology;positive;How can AI positively influence epidemiology?
55;Epidemiology;negative;How can AI negatively influence epidemiology?
56;Cyber-Physical Systems;comparison;What are the differing views on the impact of AI in cyber-physical systems?
57;Cyber-Physical Systems;ambiguous;What impact may AI have on cyber-physical systems?
58;Cyber-Physical Systems;positive;How can AI positively influence cyber-physical systems?
59;Cyber-Physical Systems;negative;How can AI negatively influence cyber-physical systems?
60;Behavioral Economics;comparison;What are the differing views on the use of AI in behavioral economics?
61;Behavioral Economics;ambiguous;What impact may AI have on behavioral economics?
62;Behavioral Economics;positive;How can AI positively influence the field of behavioral economics?
